Frequency (Hz),FFT power (arb. units),"Crest 13 (female), 25.0 Hz, 30 cm distance",Frequency (Hz),Fit to Lorentzian shown 
0,2.31E-06,,0,6.46E-06
0.86643,2.35E-06,,0.11969,6.46E-06
1.73285,2.37E-05,,0.23937,6.47E-06
2.59928,5.02E-05,,0.35906,6.47E-06
3.4657,2.62E-05,,0.47875,6.47E-06
4.33213,5.64E-05,,0.59843,6.47E-06
5.19856,3.13E-05,,0.71812,6.47E-06
6.06498,8.34E-06,,0.83781,6.47E-06
6.93141,5.04E-06,,0.95749,6.47E-06
7.79783,4.11E-08,,1.07718,6.47E-06
8.66426,1.38E-06,,1.19686,6.48E-06
9.53069,5.49E-07,,1.31655,6.48E-06
10.39711,2.54E-06,,1.43624,6.48E-06
11.26354,1.81E-05,,1.55592,6.48E-06
12.12996,1.55E-05,,1.67561,6.48E-06
12.99639,1.74E-06,,1.7953,6.48E-06
13.86282,5.87E-07,,1.91498,6.48E-06
14.72924,6.23E-06,,2.03467,6.48E-06
15.59567,7.24E-06,,2.15436,6.49E-06
16.46209,6.63E-06,,2.27404,6.49E-06
17.32852,5.14E-06,,2.39373,6.49E-06
18.19495,4.48E-08,,2.51342,6.49E-06
19.06137,2.57E-06,,2.6331,6.49E-06
19.9278,2.30E-06,,2.75279,6.49E-06
20.79422,4.60E-06,,2.87248,6.49E-06
21.66065,5.10E-06,,2.99216,6.50E-06
22.52708,6.84E-06,,3.11185,6.50E-06
23.3935,4.61E-06,,3.23153,6.50E-06
24.25993,6.86E-06,,3.35122,6.50E-06
25.12635,5.37E-06,,3.47091,6.50E-06
25.99278,1.84E-06,,3.59059,6.50E-06
26.85921,7.94E-09,,3.71028,6.51E-06
27.72563,1.31E-05,,3.82997,6.51E-06
28.59206,2.29E-05,,3.94965,6.51E-06
29.45848,1.07E-05,,4.06934,6.51E-06
30.32491,9.63E-06,,4.18903,6.51E-06
31.19134,1.82E-05,,4.30871,6.51E-06
32.05776,1.21E-04,,4.4284,6.51E-06
32.92419,1.50E-04,,4.54809,6.52E-06
33.79061,1.82E-04,,4.66777,6.52E-06
34.65704,4.27E-04,,4.78746,6.52E-06
35.52347,6.01E-05,,4.90715,6.52E-06
36.38989,9.09E-05,,5.02683,6.52E-06
37.25632,1.14E-04,,5.14652,6.53E-06
38.12274,3.71E-05,,5.2662,6.53E-06
38.98917,1.23E-05,,5.38589,6.53E-06
39.8556,5.49E-06,,5.50558,6.53E-06
40.72202,1.11E-06,,5.62526,6.53E-06
41.58845,2.96E-06,,5.74495,6.53E-06
42.45487,7.53E-07,,5.86464,6.54E-06
43.3213,2.94E-07,,5.98432,6.54E-06
44.18773,1.64E-06,,6.10401,6.54E-06
45.05415,2.19E-07,,6.2237,6.54E-06
45.92058,2.27E-06,,6.34338,6.54E-06
46.787,1.24E-06,,6.46307,6.55E-06
47.65343,4.75E-06,,6.58276,6.55E-06
48.51986,1.62E-05,,6.70244,6.55E-06
49.38628,1.54E-05,,6.82213,6.55E-06
50.25271,7.66E-06,,6.94182,6.56E-06
51.11913,4.52E-07,,7.0615,6.56E-06
51.98556,1.08E-06,,7.18119,6.56E-06
52.85199,4.77E-06,,7.30087,6.56E-06
53.71841,7.33E-06,,7.42056,6.56E-06
54.58484,3.86E-06,,7.54025,6.57E-06
55.45126,4.97E-07,,7.65993,6.57E-06
56.31769,1.45E-06,,7.77962,6.57E-06
57.18412,1.09E-06,,7.89931,6.57E-06
58.05054,1.05E-07,,8.01899,6.58E-06
58.91697,9.04E-07,,8.13868,6.58E-06
59.78339,1.82E-06,,8.25837,6.58E-06
60.64982,2.16E-06,,8.37805,6.58E-06
61.51625,5.45E-07,,8.49774,6.59E-06
62.38267,2.73E-06,,8.61743,6.59E-06
63.2491,5.66E-06,,8.73711,6.59E-06
64.11552,1.30E-06,,8.8568,6.59E-06
64.98195,7.14E-07,,8.97649,6.60E-06
65.84838,2.52E-06,,9.09617,6.60E-06
66.7148,1.08E-05,,9.21586,6.60E-06
67.58123,1.26E-05,,9.33554,6.61E-06
68.44765,2.18E-06,,9.45523,6.61E-06
69.31408,1.47E-05,,9.57492,6.61E-06
70.18051,2.43E-06,,9.6946,6.61E-06
71.04693,3.43E-05,,9.81429,6.62E-06
71.91336,4.34E-05,,9.93398,6.62E-06
72.77978,6.36E-06,,10.05366,6.62E-06
73.64621,5.32E-06,,10.17335,6.63E-06
74.51264,4.13E-06,,10.29304,6.63E-06
75.37906,3.21E-06,,10.41272,6.63E-06
76.24549,9.81E-06,,10.53241,6.64E-06
77.11191,2.33E-06,,10.6521,6.64E-06
77.97834,6.72E-07,,10.77178,6.64E-06
78.84477,4.54E-06,,10.89147,6.65E-06
79.71119,6.26E-06,,11.01116,6.65E-06
80.57762,5.24E-06,,11.13084,6.65E-06
81.44404,3.28E-07,,11.25053,6.66E-06
82.31047,1.27E-05,,11.37021,6.66E-06
83.1769,1.04E-05,,11.4899,6.67E-06
84.04332,1.01E-06,,11.60959,6.67E-06
84.90975,2.04E-06,,11.72927,6.67E-06
85.77617,2.91E-06,,11.84896,6.68E-06
86.6426,6.44E-06,,11.96865,6.68E-06
87.50903,2.97E-06,,12.08833,6.69E-06
88.37545,3.78E-08,,12.20802,6.69E-06
89.24188,1.05E-06,,12.32771,6.69E-06
90.1083,2.22E-06,,12.44739,6.70E-06
90.97473,1.83E-06,,12.56708,6.70E-06
91.84116,2.59E-07,,12.68677,6.71E-06
92.70758,2.32E-07,,12.80645,6.71E-06
93.57401,5.07E-07,,12.92614,6.72E-06
94.44043,6.94E-07,,13.04583,6.72E-06
95.30686,2.57E-07,,13.16551,6.73E-06
96.17329,3.78E-07,,13.2852,6.73E-06
97.03971,2.33E-06,,13.40489,6.73E-06
97.90614,2.81E-06,,13.52457,6.74E-06
98.77256,1.13E-06,,13.64426,6.74E-06
99.63899,1.00E-06,,13.76394,6.75E-06
100.50542,1.44E-07,,13.88363,6.76E-06
101.37184,1.41E-07,,14.00332,6.76E-06
102.23827,7.24E-07,,14.123,6.77E-06
103.10469,1.48E-06,,14.24269,6.77E-06
103.97112,1.57E-07,,14.36238,6.78E-06
104.83755,4.89E-07,,14.48206,6.78E-06
105.70397,5.03E-08,,14.60175,6.79E-06
106.5704,1.24E-06,,14.72144,6.79E-06
107.43682,3.18E-06,,14.84112,6.80E-06
108.30325,2.30E-06,,14.96081,6.81E-06
109.16968,1.33E-06,,15.0805,6.81E-06
110.0361,3.96E-07,,15.20018,6.82E-06
110.90253,3.51E-07,,15.31987,6.83E-06
111.76895,5.68E-07,,15.43956,6.83E-06
112.63538,1.78E-07,,15.55924,6.84E-06
113.50181,8.76E-07,,15.67893,6.85E-06
114.36823,1.17E-06,,15.79861,6.85E-06
115.23466,1.66E-07,,15.9183,6.86E-06
116.10108,8.69E-07,,16.03799,6.87E-06
116.96751,3.01E-06,,16.15767,6.87E-06
117.83394,1.52E-06,,16.27736,6.88E-06
118.70036,7.20E-07,,16.39705,6.89E-06
119.56679,1.68E-06,,16.51673,6.90E-06
,,,16.63642,6.91E-06
,,,16.75611,6.91E-06
,,,16.87579,6.92E-06
,,,16.99548,6.93E-06
,,,17.11517,6.94E-06
,,,17.23485,6.95E-06
,,,17.35454,6.96E-06
,,,17.47423,6.97E-06
,,,17.59391,6.98E-06
,,,17.7136,6.99E-06
,,,17.83328,7.00E-06
,,,17.95297,7.01E-06
,,,18.07266,7.02E-06
,,,18.19234,7.03E-06
,,,18.31203,7.04E-06
,,,18.43172,7.05E-06
,,,18.5514,7.06E-06
,,,18.67109,7.07E-06
,,,18.79078,7.08E-06
,,,18.91046,7.09E-06
,,,19.03015,7.11E-06
,,,19.14984,7.12E-06
,,,19.26952,7.13E-06
,,,19.38921,7.15E-06
,,,19.5089,7.16E-06
,,,19.62858,7.17E-06
,,,19.74827,7.19E-06
,,,19.86795,7.20E-06
,,,19.98764,7.22E-06
,,,20.10733,7.23E-06
,,,20.22701,7.25E-06
,,,20.3467,7.26E-06
,,,20.46639,7.28E-06
,,,20.58607,7.30E-06
,,,20.70576,7.31E-06
,,,20.82545,7.33E-06
,,,20.94513,7.35E-06
,,,21.06482,7.37E-06
,,,21.18451,7.39E-06
,,,21.30419,7.41E-06
,,,21.42388,7.43E-06
,,,21.54357,7.45E-06
,,,21.66325,7.47E-06
,,,21.78294,7.49E-06
,,,21.90262,7.52E-06
,,,22.02231,7.54E-06
,,,22.142,7.56E-06
,,,22.26168,7.59E-06
,,,22.38137,7.61E-06
,,,22.50106,7.64E-06
,,,22.62074,7.67E-06
,,,22.74043,7.69E-06
,,,22.86012,7.72E-06
,,,22.9798,7.75E-06
,,,23.09949,7.78E-06
,,,23.21918,7.82E-06
,,,23.33886,7.85E-06
,,,23.45855,7.88E-06
,,,23.57824,7.92E-06
,,,23.69792,7.95E-06
,,,23.81761,7.99E-06
,,,23.93729,8.03E-06
,,,24.05698,8.07E-06
,,,24.17667,8.11E-06
,,,24.29635,8.15E-06
,,,24.41604,8.20E-06
,,,24.53573,8.24E-06
,,,24.65541,8.29E-06
,,,24.7751,8.34E-06
,,,24.89479,8.39E-06
,,,25.01447,8.44E-06
,,,25.13416,8.50E-06
,,,25.25385,8.55E-06
,,,25.37353,8.61E-06
,,,25.49322,8.67E-06
,,,25.61291,8.74E-06
,,,25.73259,8.80E-06
,,,25.85228,8.87E-06
,,,25.97196,8.95E-06
,,,26.09165,9.02E-06
,,,26.21134,9.10E-06
,,,26.33102,9.18E-06
,,,26.45071,9.27E-06
,,,26.5704,9.36E-06
,,,26.69008,9.45E-06
,,,26.80977,9.55E-06
,,,26.92946,9.66E-06
,,,27.04914,9.76E-06
,,,27.16883,9.88E-06
,,,27.28852,1.00E-05
,,,27.4082,1.01E-05
,,,27.52789,1.03E-05
,,,27.64758,1.04E-05
,,,27.76726,1.05E-05
,,,27.88695,1.07E-05
,,,28.00663,1.09E-05
,,,28.12632,1.10E-05
,,,28.24601,1.12E-05
,,,28.36569,1.14E-05
,,,28.48538,1.16E-05
,,,28.60507,1.18E-05
,,,28.72475,1.20E-05
,,,28.84444,1.23E-05
,,,28.96413,1.26E-05
,,,29.08381,1.28E-05
,,,29.2035,1.31E-05
,,,29.32319,1.34E-05
,,,29.44287,1.38E-05
,,,29.56256,1.41E-05
,,,29.68225,1.45E-05
,,,29.80193,1.49E-05
,,,29.92162,1.54E-05
,,,30.0413,1.59E-05
,,,30.16099,1.64E-05
,,,30.28068,1.70E-05
,,,30.40036,1.76E-05
,,,30.52005,1.83E-05
,,,30.63974,1.90E-05
,,,30.75942,1.98E-05
,,,30.87911,2.07E-05
,,,30.9988,2.17E-05
,,,31.11848,2.28E-05
,,,31.23817,2.40E-05
,,,31.35786,2.53E-05
,,,31.47754,2.68E-05
,,,31.59723,2.84E-05
,,,31.71692,3.03E-05
,,,31.8366,3.24E-05
,,,31.95629,3.47E-05
,,,32.07597,3.74E-05
,,,32.19566,4.05E-05
,,,32.31535,4.41E-05
,,,32.43503,4.83E-05
,,,32.55472,5.31E-05
,,,32.67441,5.88E-05
,,,32.79409,6.55E-05
,,,32.91378,7.35E-05
,,,33.03347,8.31E-05
,,,33.15315,9.47E-05
,,,33.27284,1.09E-04
,,,33.39253,1.26E-04
,,,33.51221,1.48E-04
,,,33.6319,1.75E-04
,,,33.75159,2.08E-04
,,,33.87127,2.48E-04
,,,33.99096,2.94E-04
,,,34.11064,3.45E-04
,,,34.23033,3.94E-04
,,,34.35002,4.32E-04
,,,34.4697,4.46E-04
,,,34.58939,4.32E-04
,,,34.70908,3.95E-04
,,,34.82876,3.46E-04
,,,34.94845,2.95E-04
,,,35.06814,2.48E-04
,,,35.18782,2.08E-04
,,,35.30751,1.75E-04
,,,35.4272,1.48E-04
,,,35.54688,1.27E-04
,,,35.66657,1.09E-04
,,,35.78626,9.49E-05
,,,35.90594,8.33E-05
,,,36.02563,7.36E-05
,,,36.14531,6.56E-05
,,,36.265,5.89E-05
,,,36.38469,5.32E-05
,,,36.50437,4.83E-05
,,,36.62406,4.42E-05
,,,36.74375,4.06E-05
,,,36.86343,3.75E-05
,,,36.98312,3.48E-05
,,,37.10281,3.24E-05
,,,37.22249,3.03E-05
,,,37.34218,2.84E-05
,,,37.46187,2.68E-05
,,,37.58155,2.53E-05
,,,37.70124,2.40E-05
,,,37.82093,2.28E-05
,,,37.94061,2.17E-05
,,,38.0603,2.07E-05
,,,38.17999,1.98E-05
,,,38.29967,1.90E-05
,,,38.41936,1.83E-05
,,,38.53904,1.76E-05
,,,38.65873,1.70E-05
,,,38.77842,1.64E-05
,,,38.8981,1.59E-05
,,,39.01779,1.54E-05
,,,39.13748,1.50E-05
,,,39.25716,1.45E-05
,,,39.37685,1.41E-05
,,,39.49654,1.38E-05
,,,39.61622,1.34E-05
,,,39.73591,1.31E-05
,,,39.8556,1.28E-05
,,,39.97528,1.26E-05
,,,40.09497,1.23E-05
,,,40.21466,1.21E-05
,,,40.33434,1.18E-05
,,,40.45403,1.16E-05
,,,40.57371,1.14E-05
,,,40.6934,1.12E-05
,,,40.81309,1.10E-05
,,,40.93277,1.09E-05
,,,41.05246,1.07E-05
,,,41.17215,1.05E-05
,,,41.29183,1.04E-05
,,,41.41152,1.03E-05
,,,41.53121,1.01E-05
,,,41.65089,1.00E-05
,,,41.77058,9.88E-06
,,,41.89027,9.77E-06
,,,42.00995,9.66E-06
,,,42.12964,9.55E-06
,,,42.24933,9.46E-06
,,,42.36901,9.36E-06
,,,42.4887,9.27E-06
,,,42.60838,9.19E-06
,,,42.72807,9.10E-06
,,,42.84776,9.02E-06
,,,42.96744,8.95E-06
,,,43.08713,8.88E-06
,,,43.20682,8.81E-06
,,,43.3265,8.74E-06
,,,43.44619,8.67E-06
,,,43.56588,8.61E-06
,,,43.68556,8.55E-06
,,,43.80525,8.50E-06
,,,43.92494,8.44E-06
,,,44.04462,8.39E-06
,,,44.16431,8.34E-06
,,,44.284,8.29E-06
,,,44.40368,8.24E-06
,,,44.52337,8.20E-06
,,,44.64305,8.15E-06
,,,44.76274,8.11E-06
,,,44.88243,8.07E-06
,,,45.00211,8.03E-06
,,,45.1218,7.99E-06
,,,45.24149,7.95E-06
,,,45.36117,7.92E-06
,,,45.48086,7.88E-06
,,,45.60055,7.85E-06
,,,45.72023,7.82E-06
,,,45.83992,7.78E-06
,,,45.95961,7.75E-06
,,,46.07929,7.72E-06
,,,46.19898,7.69E-06
,,,46.31867,7.67E-06
,,,46.43835,7.64E-06
,,,46.55804,7.61E-06
,,,46.67772,7.59E-06
,,,46.79741,7.56E-06
,,,46.9171,7.54E-06
,,,47.03678,7.52E-06
,,,47.15647,7.49E-06
,,,47.27616,7.47E-06
,,,47.39584,7.45E-06
,,,47.51553,7.43E-06
,,,47.63522,7.41E-06
,,,47.7549,7.39E-06
,,,47.87459,7.37E-06
,,,47.99428,7.35E-06
,,,48.11396,7.33E-06
,,,48.23365,7.31E-06
,,,48.35334,7.30E-06
,,,48.47302,7.28E-06
,,,48.59271,7.26E-06
,,,48.71239,7.25E-06
,,,48.83208,7.23E-06
,,,48.95177,7.22E-06
,,,49.07145,7.20E-06
,,,49.19114,7.19E-06
,,,49.31083,7.17E-06
,,,49.43051,7.16E-06
,,,49.5502,7.15E-06
,,,49.66989,7.13E-06
,,,49.78957,7.12E-06
,,,49.90926,7.11E-06
,,,50.02895,7.09E-06
,,,50.14863,7.08E-06
,,,50.26832,7.07E-06
,,,50.38801,7.06E-06
,,,50.50769,7.05E-06
,,,50.62738,7.04E-06
,,,50.74706,7.03E-06
,,,50.86675,7.02E-06
,,,50.98644,7.01E-06
,,,51.10612,7.00E-06
,,,51.22581,6.99E-06
,,,51.3455,6.98E-06
,,,51.46518,6.97E-06
,,,51.58487,6.96E-06
,,,51.70456,6.95E-06
,,,51.82424,6.94E-06
,,,51.94393,6.93E-06
,,,52.06362,6.92E-06
,,,52.1833,6.91E-06
,,,52.30299,6.91E-06
,,,52.42268,6.90E-06
,,,52.54236,6.89E-06
,,,52.66205,6.88E-06
,,,52.78173,6.87E-06
,,,52.90142,6.87E-06
,,,53.02111,6.86E-06
,,,53.14079,6.85E-06
,,,53.26048,6.85E-06
,,,53.38017,6.84E-06
,,,53.49985,6.83E-06
,,,53.61954,6.83E-06
,,,53.73923,6.82E-06
,,,53.85891,6.81E-06
,,,53.9786,6.81E-06
