frequency_Hz,FFT_power,crest,playback_track,blocked
0,2.10E-33,crest_08,file_1006,no
1,0.07813,crest_08,file_1006,no
2,0.0297,crest_08,file_1006,no
3,0.0132,crest_08,file_1006,no
4,0.00679,crest_08,file_1006,no
5,1.53E-05,crest_08,file_1006,no
6,0.00311,crest_08,file_1006,no
7,0.00232,crest_08,file_1006,no
8,0.01053,crest_08,file_1006,no
9,4.07E-04,crest_08,file_1006,no
10,0.00331,crest_08,file_1006,no
11,0.00802,crest_08,file_1006,no
12,0.01076,crest_08,file_1006,no
13,2.02E-06,crest_08,file_1006,no
14,0.00289,crest_08,file_1006,no
15,1.99E-04,crest_08,file_1006,no
16,0.00286,crest_08,file_1006,no
17,0.00975,crest_08,file_1006,no
18,0.00156,crest_08,file_1006,no
19,0.00284,crest_08,file_1006,no
20,0.01791,crest_08,file_1006,no
21,0.006,crest_08,file_1006,no
22,0.00555,crest_08,file_1006,no
23,0.01712,crest_08,file_1006,no
24,0.00354,crest_08,file_1006,no
25,0.07039,crest_08,file_1006,no
26,0.09542,crest_08,file_1006,no
27,1.36347,crest_08,file_1006,no
28,0.56584,crest_08,file_1006,no
29,0.07857,crest_08,file_1006,no
30,0.04677,crest_08,file_1006,no
31,0.02522,crest_08,file_1006,no
32,0.04953,crest_08,file_1006,no
33,0.04956,crest_08,file_1006,no
34,0.00985,crest_08,file_1006,no
35,0.12481,crest_08,file_1006,no
36,0.00435,crest_08,file_1006,no
37,0.01315,crest_08,file_1006,no
38,0.0064,crest_08,file_1006,no
39,0.02368,crest_08,file_1006,no
40,0.01117,crest_08,file_1006,no
41,0.00623,crest_08,file_1006,no
42,0.00497,crest_08,file_1006,no
43,0.00877,crest_08,file_1006,no
44,0.01926,crest_08,file_1006,no
45,0.02336,crest_08,file_1006,no
46,0.02003,crest_08,file_1006,no
47,0.00567,crest_08,file_1006,no
48,0.00271,crest_08,file_1006,no
49,0.00686,crest_08,file_1006,no
50,0.01197,crest_08,file_1006,no
51,0.01555,crest_08,file_1006,no
52,0.00756,crest_08,file_1006,no
53,0.02882,crest_08,file_1006,no
54,0.01505,crest_08,file_1006,no
55,0.01217,crest_08,file_1006,no
56,0.01235,crest_08,file_1006,no
57,0.00297,crest_08,file_1006,no
58,9.90E-04,crest_08,file_1006,no
59,0.00553,crest_08,file_1006,no
60,0.00311,crest_08,file_1006,no
61,5.55E-04,crest_08,file_1006,no
62,0.00116,crest_08,file_1006,no
63,0.00353,crest_08,file_1006,no
64,0.00322,crest_08,file_1006,no
65,3.52E-04,crest_08,file_1006,no
66,0.00569,crest_08,file_1006,no
67,0.0157,crest_08,file_1006,no
68,0.00118,crest_08,file_1006,no
69,0.00235,crest_08,file_1006,no
70,0.00385,crest_08,file_1006,no
71,0.00963,crest_08,file_1006,no
72,0.0028,crest_08,file_1006,no
73,0.00162,crest_08,file_1006,no
74,8.40E-04,crest_08,file_1006,no
75,0.00108,crest_08,file_1006,no
76,0.00327,crest_08,file_1006,no
77,0.00152,crest_08,file_1006,no
78,0.00106,crest_08,file_1006,no
79,2.84E-04,crest_08,file_1006,no
80,0.00545,crest_08,file_1006,no
81,0.00233,crest_08,file_1006,no
82,0.00128,crest_08,file_1006,no
83,9.75E-04,crest_08,file_1006,no
84,8.75E-04,crest_08,file_1006,no
85,9.16E-05,crest_08,file_1006,no
86,4.23E-04,crest_08,file_1006,no
87,5.83E-05,crest_08,file_1006,no
88,5.57E-04,crest_08,file_1006,no
89,7.35E-04,crest_08,file_1006,no
90,0.00147,crest_08,file_1006,no
91,0.00165,crest_08,file_1006,no
92,0.00223,crest_08,file_1006,no
93,0.00115,crest_08,file_1006,no
94,5.99E-04,crest_08,file_1006,no
95,9.03E-04,crest_08,file_1006,no
96,0.00354,crest_08,file_1006,no
97,8.09E-04,crest_08,file_1006,no
98,0.00312,crest_08,file_1006,no
99,0.00295,crest_08,file_1006,no
100,0.00252,crest_08,file_1006,no
101,6.86E-04,crest_08,file_1006,no
102,0.00205,crest_08,file_1006,no
103,0.00117,crest_08,file_1006,no
104,0.00309,crest_08,file_1006,no
105,0.00118,crest_08,file_1006,no
106,5.21E-05,crest_08,file_1006,no
107,0.00122,crest_08,file_1006,no
108,7.13E-04,crest_08,file_1006,no
109,0.00142,crest_08,file_1006,no
110,2.88E-04,crest_08,file_1006,no
111,6.40E-04,crest_08,file_1006,no
112,8.05E-04,crest_08,file_1006,no
113,3.79E-04,crest_08,file_1006,no
114,0.00179,crest_08,file_1006,no
115,0.00692,crest_08,file_1006,no
116,6.74E-04,crest_08,file_1006,no
117,7.01E-05,crest_08,file_1006,no
118,0.00155,crest_08,file_1006,no
119,3.54E-04,crest_08,file_1006,no
120,9.59E-04,crest_08,file_1006,no
0,5.73E-34,crest_08,file_1006,yes
1,0.00729,crest_08,file_1006,yes
2,0.00206,crest_08,file_1006,yes
3,0.00563,crest_08,file_1006,yes
4,0.00978,crest_08,file_1006,yes
5,0.01728,crest_08,file_1006,yes
6,0.00956,crest_08,file_1006,yes
7,3.11E-04,crest_08,file_1006,yes
8,0.00194,crest_08,file_1006,yes
9,0.00178,crest_08,file_1006,yes
10,0.00219,crest_08,file_1006,yes
11,0.00491,crest_08,file_1006,yes
12,0.00127,crest_08,file_1006,yes
13,0.00839,crest_08,file_1006,yes
14,0.02031,crest_08,file_1006,yes
15,0.00269,crest_08,file_1006,yes
16,0.00137,crest_08,file_1006,yes
17,0.00419,crest_08,file_1006,yes
18,0.00401,crest_08,file_1006,yes
19,0.00338,crest_08,file_1006,yes
20,0.0104,crest_08,file_1006,yes
21,0.00344,crest_08,file_1006,yes
22,0.01157,crest_08,file_1006,yes
23,0.00124,crest_08,file_1006,yes
24,0.00949,crest_08,file_1006,yes
25,0.00456,crest_08,file_1006,yes
26,0.01572,crest_08,file_1006,yes
27,0.04109,crest_08,file_1006,yes
28,0.02881,crest_08,file_1006,yes
29,0.00217,crest_08,file_1006,yes
30,0.00811,crest_08,file_1006,yes
31,7.89E-04,crest_08,file_1006,yes
32,3.66E-04,crest_08,file_1006,yes
33,0.00284,crest_08,file_1006,yes
34,0.0049,crest_08,file_1006,yes
35,0.00751,crest_08,file_1006,yes
36,0.00721,crest_08,file_1006,yes
37,0.00126,crest_08,file_1006,yes
38,0.00671,crest_08,file_1006,yes
39,0.00479,crest_08,file_1006,yes
40,0.00577,crest_08,file_1006,yes
41,0.00388,crest_08,file_1006,yes
42,0.0025,crest_08,file_1006,yes
43,0.00132,crest_08,file_1006,yes
44,0.00655,crest_08,file_1006,yes
45,0.00223,crest_08,file_1006,yes
46,0.00468,crest_08,file_1006,yes
47,0.0035,crest_08,file_1006,yes
48,0.00457,crest_08,file_1006,yes
49,0.01063,crest_08,file_1006,yes
50,0.00333,crest_08,file_1006,yes
51,0.00219,crest_08,file_1006,yes
52,0.00559,crest_08,file_1006,yes
53,9.42E-05,crest_08,file_1006,yes
54,6.36E-04,crest_08,file_1006,yes
55,0.01026,crest_08,file_1006,yes
56,0.00695,crest_08,file_1006,yes
57,0.00119,crest_08,file_1006,yes
58,0.0013,crest_08,file_1006,yes
59,0.00297,crest_08,file_1006,yes
60,0.00246,crest_08,file_1006,yes
61,1.55E-04,crest_08,file_1006,yes
62,0.00259,crest_08,file_1006,yes
63,0.00106,crest_08,file_1006,yes
64,2.34E-05,crest_08,file_1006,yes
65,6.64E-04,crest_08,file_1006,yes
66,1.58E-04,crest_08,file_1006,yes
67,0.00129,crest_08,file_1006,yes
68,0.00455,crest_08,file_1006,yes
69,0.00145,crest_08,file_1006,yes
70,3.16E-04,crest_08,file_1006,yes
71,1.99E-05,crest_08,file_1006,yes
72,0.00346,crest_08,file_1006,yes
73,8.74E-05,crest_08,file_1006,yes
74,3.04E-04,crest_08,file_1006,yes
75,5.03E-04,crest_08,file_1006,yes
76,6.38E-04,crest_08,file_1006,yes
77,0.00175,crest_08,file_1006,yes
78,1.05E-04,crest_08,file_1006,yes
79,0.0041,crest_08,file_1006,yes
80,8.23E-04,crest_08,file_1006,yes
81,5.03E-04,crest_08,file_1006,yes
82,0.00185,crest_08,file_1006,yes
83,3.29E-05,crest_08,file_1006,yes
84,3.85E-04,crest_08,file_1006,yes
85,0.00153,crest_08,file_1006,yes
86,0.00174,crest_08,file_1006,yes
87,6.83E-04,crest_08,file_1006,yes
88,5.07E-04,crest_08,file_1006,yes
89,0.00736,crest_08,file_1006,yes
90,7.38E-05,crest_08,file_1006,yes
91,0.00111,crest_08,file_1006,yes
92,0.00261,crest_08,file_1006,yes
93,4.79E-04,crest_08,file_1006,yes
94,2.52E-04,crest_08,file_1006,yes
95,3.69E-04,crest_08,file_1006,yes
96,4.64E-04,crest_08,file_1006,yes
97,6.82E-04,crest_08,file_1006,yes
98,0.00422,crest_08,file_1006,yes
99,0.00125,crest_08,file_1006,yes
100,0.00144,crest_08,file_1006,yes
101,6.33E-04,crest_08,file_1006,yes
102,0.00296,crest_08,file_1006,yes
103,8.02E-04,crest_08,file_1006,yes
104,0.00334,crest_08,file_1006,yes
105,0.00331,crest_08,file_1006,yes
106,8.67E-04,crest_08,file_1006,yes
107,5.26E-04,crest_08,file_1006,yes
108,0.00192,crest_08,file_1006,yes
109,0.002,crest_08,file_1006,yes
110,9.49E-04,crest_08,file_1006,yes
111,0.00137,crest_08,file_1006,yes
112,8.97E-04,crest_08,file_1006,yes
113,0.00142,crest_08,file_1006,yes
114,0.00279,crest_08,file_1006,yes
115,6.21E-04,crest_08,file_1006,yes
116,0.00198,crest_08,file_1006,yes
117,2.81E-04,crest_08,file_1006,yes
118,8.26E-04,crest_08,file_1006,yes
119,0.00519,crest_08,file_1006,yes
120,0.01041,crest_08,file_1006,yes
0,5.35E-36,crest_08,white_noise,no
1,0.03859,crest_08,white_noise,no
2,0.0507,crest_08,white_noise,no
3,0.00427,crest_08,white_noise,no
4,0.00108,crest_08,white_noise,no
5,0.01378,crest_08,white_noise,no
6,0.00129,crest_08,white_noise,no
7,0.00717,crest_08,white_noise,no
8,0.00958,crest_08,white_noise,no
9,0.00481,crest_08,white_noise,no
10,0.00257,crest_08,white_noise,no
11,0.00166,crest_08,white_noise,no
12,0.00156,crest_08,white_noise,no
13,0.00778,crest_08,white_noise,no
14,2.08E-04,crest_08,white_noise,no
15,5.58E-04,crest_08,white_noise,no
16,0.00201,crest_08,white_noise,no
17,0.00248,crest_08,white_noise,no
18,2.70E-04,crest_08,white_noise,no
19,0.00319,crest_08,white_noise,no
20,5.19E-04,crest_08,white_noise,no
21,0.00432,crest_08,white_noise,no
22,1.23E-06,crest_08,white_noise,no
23,0.00164,crest_08,white_noise,no
24,2.08E-04,crest_08,white_noise,no
25,8.19E-04,crest_08,white_noise,no
26,4.32E-04,crest_08,white_noise,no
27,3.87E-04,crest_08,white_noise,no
28,7.77E-04,crest_08,white_noise,no
29,5.72E-04,crest_08,white_noise,no
30,0.00291,crest_08,white_noise,no
31,0.00285,crest_08,white_noise,no
32,6.44E-04,crest_08,white_noise,no
33,3.27E-04,crest_08,white_noise,no
34,0.00125,crest_08,white_noise,no
35,0.00127,crest_08,white_noise,no
36,0.00254,crest_08,white_noise,no
37,0.00192,crest_08,white_noise,no
38,0.00112,crest_08,white_noise,no
39,0.00107,crest_08,white_noise,no
40,6.34E-04,crest_08,white_noise,no
41,0.00266,crest_08,white_noise,no
42,2.11E-04,crest_08,white_noise,no
43,7.69E-04,crest_08,white_noise,no
44,4.39E-04,crest_08,white_noise,no
45,0.00202,crest_08,white_noise,no
46,0.00136,crest_08,white_noise,no
47,0.00136,crest_08,white_noise,no
48,0.00111,crest_08,white_noise,no
49,2.50E-04,crest_08,white_noise,no
50,5.87E-04,crest_08,white_noise,no
51,6.97E-04,crest_08,white_noise,no
52,0.00136,crest_08,white_noise,no
53,5.42E-04,crest_08,white_noise,no
54,2.82E-04,crest_08,white_noise,no
55,3.76E-04,crest_08,white_noise,no
56,0.00113,crest_08,white_noise,no
57,4.91E-04,crest_08,white_noise,no
58,4.37E-04,crest_08,white_noise,no
59,8.86E-04,crest_08,white_noise,no
60,6.68E-05,crest_08,white_noise,no
61,6.25E-04,crest_08,white_noise,no
62,9.18E-04,crest_08,white_noise,no
63,1.58E-06,crest_08,white_noise,no
64,4.41E-04,crest_08,white_noise,no
65,0.00126,crest_08,white_noise,no
66,3.94E-05,crest_08,white_noise,no
67,3.70E-04,crest_08,white_noise,no
68,9.54E-05,crest_08,white_noise,no
69,8.11E-04,crest_08,white_noise,no
70,4.15E-04,crest_08,white_noise,no
71,0.00112,crest_08,white_noise,no
72,7.73E-04,crest_08,white_noise,no
73,2.69E-04,crest_08,white_noise,no
74,5.22E-04,crest_08,white_noise,no
75,4.88E-04,crest_08,white_noise,no
76,3.16E-04,crest_08,white_noise,no
77,2.74E-04,crest_08,white_noise,no
78,7.50E-04,crest_08,white_noise,no
79,3.48E-05,crest_08,white_noise,no
80,2.11E-04,crest_08,white_noise,no
81,3.35E-04,crest_08,white_noise,no
82,0.00158,crest_08,white_noise,no
83,7.04E-05,crest_08,white_noise,no
84,3.41E-04,crest_08,white_noise,no
85,4.30E-05,crest_08,white_noise,no
86,9.09E-04,crest_08,white_noise,no
87,2.80E-04,crest_08,white_noise,no
88,5.21E-04,crest_08,white_noise,no
89,4.27E-04,crest_08,white_noise,no
90,7.13E-04,crest_08,white_noise,no
91,1.89E-04,crest_08,white_noise,no
92,3.63E-04,crest_08,white_noise,no
93,1.66E-04,crest_08,white_noise,no
94,1.88E-04,crest_08,white_noise,no
95,1.05E-04,crest_08,white_noise,no
96,4.19E-04,crest_08,white_noise,no
97,9.73E-04,crest_08,white_noise,no
98,1.56E-04,crest_08,white_noise,no
99,1.29E-04,crest_08,white_noise,no
100,1.46E-04,crest_08,white_noise,no
101,1.07E-04,crest_08,white_noise,no
102,2.80E-04,crest_08,white_noise,no
103,4.33E-06,crest_08,white_noise,no
104,4.53E-05,crest_08,white_noise,no
105,7.38E-04,crest_08,white_noise,no
106,5.63E-04,crest_08,white_noise,no
107,5.26E-04,crest_08,white_noise,no
108,2.44E-04,crest_08,white_noise,no
109,2.57E-04,crest_08,white_noise,no
110,7.60E-04,crest_08,white_noise,no
111,6.68E-04,crest_08,white_noise,no
112,8.54E-04,crest_08,white_noise,no
113,1.50E-04,crest_08,white_noise,no
114,2.86E-04,crest_08,white_noise,no
115,5.40E-04,crest_08,white_noise,no
116,1.52E-04,crest_08,white_noise,no
117,7.89E-04,crest_08,white_noise,no
118,7.24E-04,crest_08,white_noise,no
119,5.66E-04,crest_08,white_noise,no
120,4.36E-05,crest_08,white_noise,no